Есть в html, нет в dict

Нету слова 破冰器 | ['破冰器', '_', 'Ледокол']
Нету слова 核口核弹头蓝图 | ['核口核弹头蓝图', '_', 'Чертежи "Ядер-Заряда"']
Нету слова 雅座化妆室钥匙 | ['雅座化妆室钥匙', '_', 'Ключ от гримерки в "Салоне"']
Нету слова 狠毒吸血幼蠕虫 | ['狠毒吸血幼蠕虫', '_', 'Личинка ядовитого кровочервя']
Нету слова 战狼帮毛帽鸟面罩 | ['战狼帮毛帽鸟面罩', '_', 'Вязаная шапка Стаи и маска ворона']
Нету слова 不是合成人 | ['不是合成人', '_', 'Не синт']
Нету слова 他是合成人 | ['他是合成人', '_', 'Он синт']
Нету слова 你是合成人 | ['你是合成人', '_', 'Ты синт']
Нету слова 杀死合成人 | ['杀死合成人', '_', 'Убей синта']
Нету слова 我还活着 | ['我还活着', '_', 'Я еще живу']
Нету слова 回收合成人 | ['回收合成人', '_', 'Задержание']
Нету слова 逃走的合成人 | ['逃走的合成人', '_', 'Беглый синт']
Нету слова 我有点怀疑 | ['我有点怀疑', '_', 'Это вряд ли']
Нету слова 合成人是敌人 | ['合成人是敌人', '_', 'Синты враги']
Нету слова 我记得他 | ['我记得他', '_', 'Я его помню']
Нету слова 你这废物 | ['你这废物', '_', 'Ничтожество']
Нету слова 吉妮瓦的办公桌 | ['吉妮瓦的办公桌', '_', 'Стол Женевы']
Нету слова 杀死合成人数 | ['杀死合成人数', '_', 'Синтов убито']
Нету слова 拯救合成人 | ['拯救合成人', '_', 'Спасти синта']
Нету слова 我还是这样觉得 | ['我还是这样觉得', '_', 'Наверное, да']
Нету слова 失去你 | ['失去你', '_', 'Потерять тебя']
Нету слова 叛逃的合成人 | ['叛逃的合成人', '_', 'Синт-мятежник']
Нету слова 合成人不是人类 | ['合成人不是人类', '_', 'Синты не люди']
Нету слова 史塔顿的合成人 | ['史塔顿的合成人', '_', 'Синт Стоктона']
Нету слова 太夸张了 | ['太夸张了', '_', 'Какой-то бред']
Нету слова 吉妮瓦的套装 | ['吉妮瓦的套装', '_', 'Гарнитур Женевы']
Нету слова 杀合成人 | ['杀合成人', '_', 'Убивать синтов?']
Нету слова 讨厌合成人 | ['讨厌合成人', '_', 'Ненавижу синтов']
Нету слова 不是罪犯 | ['不是罪犯', '_', 'Я не преступник']
Нету слова 保护合成人 | ['保护合成人', '_', 'Я защищу синтов']
Нету слова 捕获的合成人 | ['捕获的合成人', '_', 'Захваченный синт']
Нету слова 合成人和学院 | ['合成人和学院', '_', 'Синты и Институт']
Нету слова 左腿骨头 | ['左腿骨头', '_', 'Кости левой ноги']
Нету слова 合成人是机器 | ['合成人是机器', '_', 'Синты это машины']
Нету слова 害怕合成人 | ['害怕合成人', '_', 'Ты боишься синтов']
Нету слова 发现我们 | ['发现我们', '_', 'Как вы нас нашли?']
Нету слова 解放合成人 | ['解放合成人', '_', 'Освободить синтов']
Нету слова 拯救更多合成人 | ['拯救更多合成人', '_', 'Спасти еще синтов']
Нету слова 埋没的工厂 | ['埋没的工厂', '_', 'Разрушенный завод']
Нету слова 全没了 | ['全没了', '_', 'Ничего не осталось']
Нету слова 找到逃走的合成人 | ['找到逃走的合成人', '_', 'Найти беглых синтов']
Нету слова 生产合成人 | ['生产合成人', '_', 'Производство синтов']
Нету слова 不知道合成人的事 | ['不知道合成人的事', '_', 'Я мало знаю о синтах']
Нету слова 询问合成人的事 | ['询问合成人的事', '_', 'Спросить, синт ли он']
Нету слова 去找合成人 | ['去找合成人', '_', 'Поговорить с синтами']
Нету слова 来我这 | ['来我这', '_', 'Присоединяйся ко мне']
Нету слова 有多少合成人逃走 | ['有多少合成人逃走', '_', 'Сколько уже сбежало?']
Нету слова 可能会有危险 | ['可能会有危险', '_', 'Это может быть опасно']
Нету слова 后果不堪设想 | ['后果不堪设想', '_', 'Печальные последствия']
Нету слова 博物馆阳台钥匙 | ['博物馆阳台钥匙', '_', 'Ключ от балкона музея']
Нету слова 我不会妨碍你 | ['我不会妨碍你', '_', 'Постараюсь не мешаться']
Нету слова 反对屠杀合成人 | ['反对屠杀合成人', '_', 'Против геноцида синтов']
Нету слова 合成人护甲头盔 | ['合成人护甲头盔', '_', 'Броня синтов для головы']
Нету слова 大概没用 | ['大概没用', '_', 'Наверняка там ничего нет']
Нету слова 合成人护甲胸部 | ['合成人护甲胸部', '_', 'Броня синтов для туловища']
Нету слова 彼此都帮合成人 | ['彼此都帮合成人', '_', '"Подземка" помогает синтам']
Нету слова 学院合成人回收部 | ['学院合成人回收部', '_', 'Институт бюро робоконтроля']
Нету слова 别逼我 | ['别逼我', '_', 'Я могу развязать тебе язык']
Нету слова 带合成人回家 | ['带合成人回家', '_', 'Мы вернем этого синта домой']
Нету слова 合成人护甲左腿 | ['合成人护甲左腿', '_', 'Броня синтов для левой ноги']
Нету слова 合成人护甲左臂 | ['合成人护甲左臂', '_', 'Броня синтов для левой руки']
Нету слова 已阻挡合成人攻击 | ['已阻挡合成人攻击', '_', 'Удалось отбить атаку синтов']
Нету слова 必须解放合成人 | ['必须解放合成人', '_', 'Синты должны быть свободными']
Нету слова 急流号残骸 | ['急流号残骸', '_', 'Разрушенный корабль "Клокот"']
Нету слова 合成人护甲右臂 | ['合成人护甲右臂', '_', 'Броня синтов для правой руки']
Нету слова 合成人护甲右腿 | ['合成人护甲右腿', '_', 'Броня синтов для правой ноги']
Нету слова 终于遇到合成人 | ['终于遇到合成人', '_', 'Наконец-то мне встретился синт']
Нету слова 查看通缉海报 | ['查看通缉海报', '_', 'Прочитать объявление о розыске']
Нету слова 解救合成人很高尚 | ['解救合成人很高尚', '_', 'Спасение синтов благородное дело']
Нету слова 有点太夸张了 | ['有点太夸张了', '_', 'Не думаю, что они бы этого хотели']
Нету слова 失踪合成人调查 | ['失踪合成人调查', '_', 'Расследование исчезновения синтов']
Нету слова 对付逃走的合成人 | ['对付逃走的合成人', '_', 'Разобраться со сбежавшими синтами']
Нету слова 被贝斯所遗忘 | ['被贝斯所遗忘', '_', 'Забытый Бесом']
Нету слова 鸟豹 | ['鸟豹', '_', 'Госпожа Птица-Ягуар']
Нету слова 达沃维奇 | ['达沃维奇', '_', 'Графиня']
Нету слова 人造资源奖励 | ['人造资源奖励', '_', 'Награды за артефакты']
Нету слова 波兰的 | ['波兰的', '_', 'польск.']
Нету слова 无主题性奖励 | ['无主题性奖励', '_', 'Нет премии.']
Нету слова 劳马河 | ['劳马河', '_', 'Реума']
Нету слова 夫纳尼 | ['夫纳尼', '_', 'Фунани']
Нету слова 尼亚尼 | ['尼亚尼', '_', 'Ньяни']
Нету слова 死之 | ['死之', '_', 'Леди']
Нету слова 已显示 | ['已显示', '_', 'Раскрытая клетка']
Нету слова 月豹 | ['月豹', '_', 'Лунный Ягуар']
Нету слова 考察活动奖励 | ['考察活动奖励', '_', 'Награды за экспедицию']
Нету слова 建造一个城寨 | ['建造一个城寨', '_', 'Построить мотт и бейли']
Нету слова 赫巴 | ['赫巴', '_', 'Хеба']
Нету слова 新加坡的 | ['新加坡的', '_', 'сингапурск.']
Нету слова 选择远古遗迹奖励 | ['选择远古遗迹奖励', '_', 'Выберите бонус древних руин']
Нету слова 斯维亚托 | ['斯维亚托', '_', 'Святослав']
Нету слова 莫德 | ['莫德', '_', 'Мод']
Нету слова 西瓦尔 | ['西瓦尔', '_', 'Сиваль']
Нету слова 信条已被选择 | ['信条已被选择', '_', 'Верование принято']
Нету слова 和平条约已到期 | ['和平条约已到期', '_', 'Истек срок мирного договора']
Нету слова "消隐者" | ['"消隐者"', '_', '"Фантомы"']
Нету слова 伊肯 | ['伊肯', '_', 'Икен']
Нету слова 游击战专家 | ['游击战专家', '_', 'Партизанские навыки']
Нету слова 驻守站奖励 | ['驻守站奖励', '_', 'Награды от станций']
Нету слова 波卡利 | ['波卡利', '_', 'Бокхари']
Нету слова 所有白银级奖励 | ['所有白银级奖励', '_', 'Все награды серебряного уровня']
Нету слова 梅瓦 | ['梅瓦', '_', 'Маева']
Нету слова "格兰特船长的儿女" | ['"格兰特船长的儿女"', 'gēlántè chuánzhǎng de érnǚ', '"Дети капитана Гранта" (роман Жюля Верна)']
Нету слова 洗宿用的东西 | ['洗宿用的东西', 'xǐsù yòng de dōngxī', 'туалетные принадлежности']
Нету слова 德米特里·普罗托波波夫 | ['德米特里·普罗托波波夫', '_', 'Дмитрий Протопопов (1897-1986, первый секретарь ЦК КП Таджикской ССР в 1937-1946 гг.)']
Нету слова "信访条例" | ['"信访条例"', 'xìnfǎng tiáolì', '"Правила приёма и рассмотрения обращений граждан"']
Нету слова 史楚金 | ['史楚金', 'shǐchǔjīn', 'Щукин (фамилия)']
Нету слова "灯蛾"教练机 | ['"灯蛾"教练机', 'dēng’é jiàoliànjī', 'учебно-тренировочный самолёт «Тайгер Мот» (Великобритания)']
Нету слова 好战成瘾 | ['好战成瘾', 'hàozhàn chéngyǐn', 'наркомания войны']
Нету слова 嗷嗷地 | ['嗷嗷地', '_', 'диал. очень']
Нету слова 谢列日金 | ['谢列日金', 'xièlièrìjīn', 'Сережкин (фамилия)']
Нету слова 谢列日金娜 | ['谢列日金娜', 'xièlièrìjīn’nà', 'Сережкина (фамилия)']
Нету слова 膨胀机冷箱 | ['膨胀机冷箱', 'péngzhàngjī lěngxiāng', 'кожух ТДКА, теплоизолирующий блок турбодетандера']
Нету слова 切博塔列夫 | ['切博塔列夫', '_', 'Чеботарев (фамилия)']
Нету слова 切博塔列娃 | ['切博塔列娃', 'qiē bó tǎ liè wá', 'Чеботарева (фамилия)']
Нету слова 汇益 | ['汇益', '_', 'Гиперион']
Нету слова 盖尔布 | ['盖尔布', 'gài’ěrbù', 'Гельб Игнас (американский лингвист 1907-1985)']
---------------------
Итого не найдено: 2781
(.venv) PS C:\Users\dns80\Рабочий стол\учёба\4 курс\7 семестр\devOps\ci-cd> 
